code,date,profit,income,net profit margine,asset turn over,equity multiplier,ROE
000557,1999/12/31,123.2613 ,526.8092 ,0.2340 ,0.2612 ,2.1622 ,0.1321 
000557,1998/12/31,170.2835 ,610.4260 ,0.2790 ,0.4619 ,2.0914 ,0.2695 
000557,1997/12/31,49.2462 ,324.5926 ,0.1517 ,0.3465 ,2.1319 ,0.1121 
000557,1996/12/31,47.3724 ,430.8264 ,0.1100 ,0.6116 ,2.1208 ,0.1426 
000557,1995/12/31,27.4730 ,227.9435 ,0.1205 ,0.4700 ,1.7880 ,0.1013 
000557,1994/12/31,23.8456 ,119.2104 ,0.2000 ,0.4020 ,1.9390 ,0.1559 
000568,2017/12/31,2602.0243 ,10394.8675 ,0.2503 ,0.6165 ,1.2765 ,0.1970 
000568,2016/12/31,1949.6968 ,8303.9968 ,0.2348 ,0.6118 ,1.2646 ,0.1817 
000568,2015/12/31,1550.7235 ,6900.1569 ,0.2247 ,0.5237 ,1.3074 ,0.1539 
000568,2014/12/31,976.0660 ,5353.4422 ,0.1823 ,0.3979 ,1.3169 ,0.0955 
000568,2013/12/31,3537.5177 ,10431.1247 ,0.3391 ,0.7118 ,1.4360 ,0.3467 
000568,2012/12/31,4542.5213 ,11556.3539 ,0.3931 ,0.8240 ,1.6504 ,0.5345 
000568,2011/12/31,3055.5995 ,8427.9100 ,0.3626 ,0.8221 ,1.6034 ,0.4779 
000568,2010/12/31,2280.7040 ,5370.8718 ,0.4246 ,0.7668 ,1.4256 ,0.4642 
000568,2009/12/31,1691.4634 ,4370.4225 ,0.3870 ,0.7892 ,1.4278 ,0.4361 
000568,2008/12/31,1267.0382 ,3798.3787 ,0.3336 ,0.7926 ,1.5451 ,0.4085 
000568,2007/12/31,771.8426 ,2926.8545 ,0.2637 ,0.7404 ,1.6077 ,0.3139 
000568,2006/12/31,334.2425 ,1897.2055 ,0.1762 ,0.6257 ,1.6111 ,0.1776 
000568,2005/12/31,44.0487 ,1467.0424 ,0.0300 ,0.5690 ,1.6582 ,0.0283 
000568,2004/12/31,39.0924 ,1288.4662 ,0.0303 ,0.5001 ,1.6820 ,0.0255 
000568,2003/12/31,39.2125 ,1186.2415 ,0.0331 ,0.4640 ,1.6855 ,0.0258 
000568,2002/12/31,30.9488 ,1053.2771 ,0.0294 ,0.4559 ,1.6409 ,0.0220 
000568,2001/12/31,71.3817 ,995.3612 ,0.0717 ,0.4761 ,1.6009 ,0.0547 
000568,2000/12/31,163.8556 ,943.0969 ,0.1737 ,0.4898 ,1.5465 ,0.1316 
000568,1999/12/31,127.5929 ,1008.4326 ,0.1265 ,0.5595 ,1.4266 ,0.1010 
000568,1998/12/31,170.3760 ,828.3865 ,0.2057 ,0.5286 ,1.4419 ,0.1568 
000568,1997/12/31,318.7350 ,1070.9956 ,0.2976 ,0.8862 ,1.6899 ,0.4457 
000568,1996/12/31,244.6859 ,964.7020 ,0.2536 ,1.0040 ,1.7236 ,0.4389 
000568,1995/12/31,211.0940 ,719.0311 ,0.2936 ,0.9311 ,1.5920 ,0.4352 
000568,1994/12/31,104.6042 ,319.2507 ,0.3277 ,0.5361 ,1.6950 ,0.2978 
000568,1993/12/31,58.8913 ,225.1741 ,0.2615 ,0.5066 ,2.0341 ,0.2695 
000568,1992/12/31,71.4495 ,216.1580 ,0.3305 ,0.6623 ,1.8841 ,0.4125 
000596,2017/12/31,1185.2317 ,6968.3250 ,0.1701 ,0.7378 ,1.4778 ,0.1855 
000596,2016/12/31,850.3181 ,6017.1437 ,0.1413 ,0.7560 ,1.4775 ,0.1578 
000596,2015/12/31,715.5784 ,5253.4115 ,0.1362 ,0.7727 ,1.5083 ,0.1588 
000596,2014/12/31,597.0419 ,4650.8559 ,0.1284 ,0.7605 ,1.5435 ,0.1507 
000596,2013/12/31,622.0049 ,4580.5757 ,0.1358 ,0.8235 ,1.5629 ,0.1748 
000596,2012/12/31,725.5893 ,4197.0573 ,0.1729 ,0.8790 ,1.5562 ,0.2365 
000596,2011/12/31,566.3903 ,3307.9792 ,0.1712 ,1.0846 ,1.6007 ,0.2973 
000596,2010/12/31,313.7576 ,1879.1555 ,0.1670 ,1.1744 ,1.7229 ,0.3378 
000596,2009/12/31,140.0534 ,1341.4263 ,0.1044 ,0.9375 ,1.6923 ,0.1656 
000596,2008/12/31,34.4744 ,1378.9016 ,0.0250 ,0.9497 ,1.6768 ,0.0398 
000596,2007/12/31,33.8207 ,1201.3566 ,0.0282 ,0.8709 ,1.6485 ,0.0404 
000596,2006/12/31,13.1456 ,923.3756 ,0.0142 ,0.6814 ,1.6575 ,0.0161 
000596,2005/12/31,5.0046 ,653.8386 ,0.0077 ,0.4870 ,1.6619 ,0.0062 
000596,2004/12/31,-263.7257 ,600.7815 ,-0.4390 ,0.4129 ,1.5279 ,-0.2769 
000596,2003/12/31,-43.9398 ,557.9077 ,-0.0788 ,0.3568 ,1.3678 ,-0.0384 
000596,2002/12/31,59.2811 ,526.5578 ,0.1126 ,0.3409 ,1.3139 ,0.0504 
000596,2001/12/31,66.8160 ,806.9018 ,0.0828 ,0.5189 ,1.3477 ,0.0579 
000596,2000/12/31,146.8120 ,915.2043 ,0.1604 ,0.5845 ,1.4280 ,0.1339 
000596,1999/12/31,144.9366 ,891.3730 ,0.1626 ,0.5755 ,1.5336 ,0.1435 
000596,1998/12/31,139.7752 ,868.4550 ,0.1609 ,0.5705 ,1.6332 ,0.1500 
000596,1997/12/31,190.1608 ,959.8790 ,0.1981 ,0.6573 ,1.7395 ,0.2265 
000596,1996/12/31,67.9463 ,381.4895 ,0.1781 ,0.3759 ,1.8430 ,0.1234 
000596,1995/12/31,147.0490 ,770.9401 ,0.1907 ,1.4390 ,1.7172 ,0.4713 
000596,1994/12/31,112.9612 ,578.0768 ,0.1954 ,1.3015 ,1.6243 ,0.4131 
000729,2017/12/31,172.5129 ,11195.5815 ,0.0154 ,0.6159 ,1.3289 ,0.0126 
000729,2016/12/31,318.8479 ,11573.1955 ,0.0276 ,0.6342 ,1.3333 ,0.0233 
000729,2015/12/31,627.4407 ,12538.2670 ,0.0500 ,0.6746 ,1.3731 ,0.0464 
000729,2014/12/31,791.6342 ,13503.7541 ,0.0586 ,0.7138 ,1.4376 ,0.0602 
000729,2013/12/31,781.2583 ,13748.3839 ,0.0568 ,0.7406 ,1.5491 ,0.0652 
000729,2012/12/31,653.7199 ,13033.3465 ,0.0502 ,0.7468 ,1.6490 ,0.0618 
000729,2011/12/31,917.3443 ,12136.8366 ,0.0756 ,0.7743 ,1.5956 ,0.0934 
000729,2010/12/31,868.2522 ,10298.3914 ,0.0843 ,0.7765 ,1.4614 ,0.0957 
000729,2009/12/31,752.3092 ,9490.1184 ,0.0793 ,0.8086 ,1.4029 ,0.0899 
000729,2008/12/31,540.8434 ,8246.4834 ,0.0656 ,0.7329 ,1.5354 ,0.0738 
000729,2007/12/31,493.3431 ,7436.2246 ,0.0663 ,0.7565 ,1.5328 ,0.0769 
000729,2006/12/31,370.7811 ,6166.4831 ,0.0601 ,0.7368 ,1.4298 ,0.0633 
000729,2005/12/31,330.7865 ,5348.3032 ,0.0618 ,0.6974 ,1.4336 ,0.0618 
000729,2004/12/31,339.1373 ,4701.8546 ,0.0721 ,0.7026 ,1.3856 ,0.0702 
000729,2003/12/31,268.0467 ,3448.8978 ,0.0777 ,0.5986 ,1.3625 ,0.0634 
000729,2002/12/31,199.8697 ,2792.4350 ,0.0716 ,0.5636 ,1.2563 ,0.0507 
000729,2001/12/31,284.2081 ,2295.9905 ,0.1238 ,0.5440 ,1.1339 ,0.0764 
000729,2000/12/31,263.0766 ,1749.3487 ,0.1504 ,0.5326 ,1.0914 ,0.0874 
000729,1999/12/31,292.8522 ,1519.5959 ,0.1927 ,0.6170 ,1.0672 ,0.1269 
000729,1998/12/31,282.2713 ,1331.5666 ,0.2120 ,0.6703 ,1.2003 ,0.1706 
000729,1997/12/31,186.9392 ,1177.0192 ,0.1588 ,0.9968 ,1.6508 ,0.2613 
000729,1996/12/31,143.4533 ,939.3342 ,0.1527 ,1.2330 ,3.2947 ,0.6204 
000729,1995/12/31,119.3063 ,514.6687 ,0.2318 ,0.9858 ,4.1281 ,0.9434 
000752,2017/12/31,44.7595 ,361.5520 ,0.1238 ,0.2519 ,1.2105 ,0.0378 
000752,2016/12/31,39.7905 ,357.4529 ,0.1113 ,0.2531 ,1.1275 ,0.0318 
000752,2015/12/31,56.7485 ,390.8270 ,0.1452 ,0.2790 ,1.1555 ,0.0468 
000752,2014/12/31,70.8889 ,398.9771 ,0.1777 ,0.2920 ,1.1814 ,0.0613 
000752,2013/12/31,176.5223 ,450.1700 ,0.3921 ,0.3596 ,1.1822 ,0.1667 
000752,2012/12/31,68.1575 ,475.1936 ,0.1434 ,0.4194 ,1.1613 ,0.0699 
000752,2011/12/31,81.5318 ,441.0049 ,0.1849 ,0.3824 ,1.2514 ,0.0885 
000752,2010/12/31,55.5671 ,415.5096 ,0.1337 ,0.3529 ,1.3604 ,0.0642 
000752,2009/12/31,66.0132 ,363.7465 ,0.1815 ,0.3247 ,1.3687 ,0.0807 
000752,2008/12/31,52.0217 ,282.1688 ,0.1844 ,0.2808 ,1.3185 ,0.0683 
000752,2007/12/31,43.1908 ,244.5123 ,0.1766 ,0.2476 ,1.3298 ,0.0582 
000752,2006/12/31,38.2384 ,193.8450 ,0.1973 ,0.1964 ,1.3505 ,0.0523 
000752,2005/12/31,55.3479 ,230.0597 ,0.2406 ,0.2574 ,1.3049 ,0.0808 
000752,2004/12/31,46.0672 ,188.7327 ,0.2441 ,0.2479 ,1.4142 ,0.0856 
000752,2003/12/31,38.0668 ,164.1390 ,0.2319 ,0.2475 ,1.6460 ,0.0945 
000752,2002/12/31,36.8842 ,163.0324 ,0.2262 ,0.2311 ,1.6960 ,0.0887 
000752,2001/12/31,31.0550 ,143.7411 ,0.2160 ,0.2320 ,1.6144 ,0.0809 
